0	9	28	152	149	169	172	253	244	82	99	100	97	52	35	98	82	86	88
9	0	20	161	158	175	178	259	250	90	108	108	106	47	39	107	89	94	97
28	20	0	178	175	184	187	276	267	110	127	126	124	34	56	127	102	107	117
152	161	178	0	7	102	98	232	222	87	57	53	55	181	153	77	86	80	91
149	158	175	7	0	95	91	238	228	88	57	52	54	177	152	79	81	75	92
169	175	184	102	95	0	7	330	320	151	126	115	114	168	190	152	90	88	161
172	178	187	98	91	7	0	327	317	150	124	113	113	172	192	151	92	89	160
253	259	276	232	238	330	327	0	10	195	210	220	222	306	221	186	266	264	184
244	250	267	222	228	320	317	10	0	185	200	210	212	296	212	176	256	253	174
82	90	110	87	88	151	150	195	185	0	30	39	38	127	70	16	72	71	11
99	108	127	57	57	126	124	210	200	30	0	11	12	137	96	27	59	55	37
100	108	126	53	52	115	113	220	210	39	11	0	3	134	100	37	50	46	47
97	106	124	55	54	114	113	222	212	38	12	3	0	131	98	38	48	44	47
52	47	34	181	177	168	172	306	296	127	137	134	131	0	86	143	98	103	136
35	39	56	153	152	190	192	221	212	70	96	100	98	86	0	85	100	103	73
98	107	127	77	79	152	151	186	176	16	27	37	38	143	85	0	80	78	14
82	89	102	86	81	90	92	266	256	72	59	50	48	98	100	80	0	6	83
86	94	107	80	75	88	89	264	253	71	55	46	44	103	103	78	6	0	81
88	97	117	91	92	161	160	184	174	11	37	47	47	136	73	14	83	81	0
